,accuracy
pretrain,89.26137912237667
inc_train,18.887980376124286
Coteaching,66.14881439084219
Coteachingplus,69.96456800218043
Decoupling,79.44944126464976
DISC,54.97410738620878
ELR,60.697737803216135
GJS,54.53802125919869
JoCoR,42.89997274461706
NegativeLearning,85.58190242572908
PENCIL,15.181248296538566
FT,14.418097574270918
GA,27.82774597983102
GA_l1,20.114472608340147
wfisher,31.370945761787954
CRUL,89.17961297356229
