,accuracy
pretrain,89.26137912237667
inc_train,53.69310438811665
Coteaching,58.43554101935132
Coteachingplus,86.45407467974925
Decoupling,87.87135459253203
DISC,65.05859907331698
ELR,63.0962115017716
GJS,66.58490051785228
JoCoR,68.19296811120196
NegativeLearning,89.20686835650041
PENCIL,55.164895066775685
FT,58.898882529299534
GA,67.37530662305805
GA_l1,36.93104388116653
wfisher,63.94112837285364
CRUL,91.16925592804579
