,accuracy
pretrain,89.26137912237667
inc_train,90.7331698010357
Coteaching,86.20877623330608
Coteachingplus,88.90705914418098
Decoupling,89.17961297356229
DISC,73.23521395475606
ELR,76.83292450258926
GJS,73.83483237939492
JoCoR,49.93186154265467
NegativeLearning,91.25102207686018
PENCIL,92.01417279912783
FT,91.93240665031344
GA,91.30553284273644
GA_l1,83.12891796129736
wfisher,90.37884982284001
CRUL,92.58653584082856
