,accuracy
pretrain,65.16
inc_train,7.5
Coteaching,38.57
Coteachingplus,51.39
Decoupling,51.28
DISC,56.29
ELR,55.11
GJS,54.47
JoCoR,38.54
NegativeLearning,54.61
PENCIL,17.64
FT,12.67
GA,7.53
GA_l1,8.64
wfisher,7.63
CRUL,58.26
