,accuracy
pretrain,65.16
inc_train,63.7
Coteaching,37.75
Coteachingplus,62.12
Decoupling,60.27
DISC,61.48
ELR,59.04
GJS,61.15
JoCoR,61.58
NegativeLearning,61.4
PENCIL,65.02
FT,64.77
GA,64.06
GA_l1,64.52
wfisher,63.69
CRUL,66.78
