,cifar-10(sym)-0.1,cifar-100(asym)-0.1,flower-102(sym)-0.1,pet-37(asym)-0.1
pretrain,84.85,65.16,91.07843137254902,89.26137912237667
inc_train,84.82,63.7,93.62745098039215,90.7331698010357
Coteachingplus,73.29,62.12,89.31372549019608,88.90705914418098
Decoupling,83.52,60.27,92.54901960784314,89.17961297356229
DISC,85.37,61.48,91.27450980392156,73.23521395475606
PENCIL,86.21,65.02,93.82352941176472,92.01417279912783
FT,86.08,64.77,93.72549019607844,91.93240665031344
GA,85.19,64.06,93.62745098039215,91.30553284273644
CRUL,88.53,66.78,94.6078431372549,92.58653584082856
