,cifar-10(sym)-0.25,cifar-10(sym)-0.5,cifar-10(sym)-0.75,cifar-100(asym)-0.25,cifar-100(asym)-0.5,cifar-100(asym)-0.75,flower-102(sym)-0.25,flower-102(sym)-0.5,flower-102(sym)-0.75,pet-37(asym)-0.25,pet-37(asym)-0.5,pet-37(asym)-0.75
pretrain,84.85,84.85,84.85,65.16,65.16,65.16,91.07843137254902,91.07843137254902,91.07843137254902,89.26137912237667,89.26137912237667,89.26137912237667
inc_train,79.3,65.06,45.82,55.88,38.55,17.37,87.3529411764706,66.47058823529412,10.68627450980392,82.7200872172254,53.69310438811665,18.88798037612429
Coteaching,44.7,45.44,46.28,40.93,39.0,40.45,64.41176470588235,64.2156862745098,16.96078431372549,67.62060506950122,58.43554101935132,66.14881439084219
Decoupling,82.44,80.35,77.66,59.73,56.89,56.75,86.27450980392157,67.74509803921569,15.68627450980392,88.44371763423275,87.87135459253203,79.44944126464976
DISC,85.15,82.1,79.64,60.73,59.34,57.02,87.3529411764706,88.52941176470588,59.90196078431372,67.72962660125374,65.05859907331698,54.97410738620878
PENCIL,84.47,80.44,74.62,61.49,56.73,39.84,87.45098039215686,66.66666666666667,10.980392156862743,85.20032706459526,55.164895066775685,15.181248296538566
FT,83.71,79.35,73.31,60.81,54.42,35.53,87.05882352941177,65.88235294117646,10.784313725490197,85.6091578086672,58.898882529299534,14.418097574270918
GA,81.29,69.75,48.58,56.47,38.41,17.72,87.15686274509804,66.96078431372548,11.176470588235292,89.04333605887163,67.37530662305805,27.82774597983102
CRUL,87.74,87.3,84.12,65.43,63.85,60.95,90.3921568627451,90.49019607843135,60.09803921568628,92.259471245571,91.1692559280458,89.17961297356229
