Method,mAP,Precision@5,Recall@5,Top-5 Accuracy,MRR,NDCG@5
Coteaching,0.5153804166666667,0.40090000000000003,0.00040090000000000004,0.7602,0.53552,0.5883979092145347
Coteachingplus,0.7283263888888889,0.6563,0.0006563000000000001,0.8725,0.74613,0.7742723958712617
JoCoR,0.8430891666666667,0.8223599999999999,0.0008223600000000001,0.8855,0.84764,0.8566018887257656
