,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99,label_100,label_101
0,pretrain,0.9480800432666306,0.051919956733369355,1.0,1.0,0.6666666666666666,0.6363636363636364,0.9166666666666666,1.0,1.0,1.0,0.875,1.0,0.9047619047619048,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,0.95,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9444444444444444,0.6666666666666666,0.9,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.8,0.9705882352941176,1.0,0.696969696969697,1.0,0.6666666666666666,0.9807692307692307,1.0,0.9375,1.0,1.0,0.974025974025974,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9642857142857143,1.0,0.7142857142857143,0.6363636363636364,0.8,1.0,1.0,0.9230769230769231,1.0,0.9736842105263158,0.9655172413793104,0.9615384615384616,0.972972972972973,1.0,1.0,0.8571428571428571,1.0,0.9354838709677419,0.9393939393939394,0.8888888888888888,0.9090909090909091,1.0,0.9285714285714286,0.9787234042553191,0.9574468085106383,1.0,1.0,1.0,0.7142857142857143,0.9574468085106383,0.8235294117647058,0.8,0.7647058823529411,0.9444444444444444,1.0,1.0,1.0,1.0
1,inctrain,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
2,Coteaching,0.05678745267712277,0.9432125473228772,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.05,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.13333333333333333,0.11764705882352941,0.0,0.0,0.07142857142857142,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.05194805194805195,0.05555555555555555,0.0,0.058823529411764705,0.06666666666666667,0.07692307692307693,0.0,0.3870967741935484,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.26666666666666666,0.0,0.0625,0.038461538461538464,0.07272727272727272,0.0,0.0,0.038461538461538464,0.06756756756756757,0.3125,0.0,0.0,0.057692307692307696,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.3617021276595745,0.0425531914893617,0.0,0.07142857142857142,0.0,0.0,0.0851063829787234,0.058823529411764705,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
3,Coteachingplus,0.1233098972417523,0.8766901027582477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.043478260869565216,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.09090909090909091,0.0,0.0,0.05555555555555555,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.17647058823529413,0.0,0.0,0.07142857142857142,0.0,0.25,0.21428571428571427,0.1875,0.0,0.2,0.3116883116883117,0.05555555555555555,0.0,0.058823529411764705,0.2,0.0,0.07692307692307693,0.9032258064516129,0.0,0.7272727272727273,0.42857142857142855,0.0,0.75,0.0,0.07142857142857142,0.4166666666666667,0.14285714285714285,0.0,0.0,0.0,0.0,0.07692307692307693,0.2545454545454545,0.05263157894736842,0.27586206896551724,0.07692307692307693,0.10810810810810811,0.4375,0.0,0.0,0.07692307692307693,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111,0.07142857142857142,0.06382978723404255,0.23404255319148937,0.0625,0.14285714285714285,0.25,0.0,0.1276595744680851,0.08823529411764706,0.0,0.17647058823529413,0.0,0.0,0.0,0.125,0.1111111111111111
4,Decoupling,0.10383991346673878,0.8961600865332612,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.05,0.25,0.16666666666666666,0.14285714285714285,0.08695652173913043,0.0,0.125,0.0,0.0,0.043478260869565216,0.05,0.0,0.18181818181818182,0.5,0.125,0.1111111111111111,0.0,0.2,0.5,0.0,0.08333333333333333,0.25,0.2777777777777778,0.0,0.0,0.14285714285714285,0.0,0.5555555555555556,0.07692307692307693,0.08333333333333333,0.16666666666666666,0.0,0.0,0.23529411764705882,0.09090909090909091,0.030303030303030304,0.14285714285714285,0.0,0.19230769230769232,0.0,0.0625,0.0,0.04,0.18181818181818182,0.0,0.0,0.29411764705882354,0.06666666666666667,0.07692307692307693,0.0,0.1935483870967742,0.0,0.18181818181818182,0.7142857142857143,0.09090909090909091,0.0,0.25,0.07142857142857142,0.08333333333333333,0.2857142857142857,0.0,0.0,0.16666666666666666,0.0,0.15384615384615385,0.03636363636363636,0.21052631578947367,0.13793103448275862,0.0,0.0945945945945946,0.03125,0.0,0.25,0.11538461538461539,0.03225806451612903,0.030303030303030304,0.037037037037037035,0.0,0.3333333333333333,0.0,0.0851063829787234,0.1702127659574468,0.0625,0.14285714285714285,0.08333333333333333,0.0,0.2127659574468085,0.058823529411764705,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.1111111111111111
5,DISC,0.9210383991346673,0.07896160086533266,1.0,1.0,0.16666666666666666,0.5454545454545454,0.8333333333333334,0.875,1.0,0.95,0.875,1.0,0.8095238095238095,0.9565217391304348,1.0,1.0,0.7,0.25,1.0,0.9,0.8888888888888888,0.8181818181818182,0.75,0.875,1.0,0.8571428571428571,0.8,0.8333333333333334,0.8,0.8333333333333334,0.875,0.9444444444444444,0.9166666666666666,0.5,0.8571428571428571,1.0,0.8888888888888888,0.9230769230769231,1.0,0.9166666666666666,0.5,0.6,0.9705882352941176,1.0,0.7878787878787878,1.0,0.3333333333333333,1.0,0.9285714285714286,0.9375,1.0,0.96,0.961038961038961,0.9444444444444444,1.0,1.0,0.9333333333333333,1.0,0.8461538461538461,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.8214285714285714,1.0,0.5714285714285714,0.9090909090909091,0.8,1.0,1.0,0.8846153846153846,0.9454545454545454,0.9736842105263158,0.9655172413793104,0.9615384615384616,0.9864864864864865,0.96875,1.0,0.9642857142857143,1.0,0.9032258064516129,0.9090909090909091,0.8148148148148148,0.9090909090909091,1.0,0.9285714285714286,0.9148936170212766,0.9574468085106383,0.9375,1.0,1.0,0.7142857142857143,0.9574468085106383,0.9117647058823529,0.85,0.8235294117647058,0.8333333333333334,0.8571428571428571,1.0,0.875,1.0
6,ELR,0.7825851811790157,0.21741481882098435,1.0,0.7692307692307693,0.0,0.36363636363636365,0.3333333333333333,0.875,1.0,0.8,0.625,0.8333333333333334,0.6666666666666666,0.17391304347826086,1.0,0.875,0.5,0.625,0.9565217391304348,0.85,0.6666666666666666,1.0,0.25,1.0,0.9444444444444444,0.8571428571428571,0.8,0.8333333333333334,0.8,0.6666666666666666,0.875,0.5,0.25,0.3,1.0,1.0,0.3333333333333333,0.9230769230769231,0.9166666666666666,0.5833333333333334,1.0,0.5333333333333333,0.8235294117647058,0.9090909090909091,0.6666666666666666,1.0,0.6666666666666666,0.8653846153846154,1.0,1.0,1.0,1.0,0.8571428571428571,0.9444444444444444,0.9090909090909091,0.9411764705882353,0.9333333333333333,0.9615384615384616,0.8461538461538461,0.967741935483871,0.8571428571428571,0.9090909090909091,0.8571428571428571,1.0,1.0,0.75,0.75,1.0,0.2857142857142857,0.7272727272727273,0.6666666666666666,0.75,1.0,0.3076923076923077,0.8727272727272727,0.8421052631578947,0.9655172413793104,0.8076923076923077,0.8783783783783784,0.90625,0.4,0.8214285714285714,0.9423076923076923,0.8709677419354839,0.5757575757575758,0.25925925925925924,0.8181818181818182,1.0,0.9285714285714286,0.851063829787234,0.851063829787234,0.4375,0.7857142857142857,0.6666666666666666,0.42857142857142855,0.9574468085106383,0.6764705882352942,0.3,0.35294117647058826,0.5555555555555556,0.6428571428571429,1.0,0.625,0.8888888888888888
7,GJS,0.7836668469442942,0.21633315305570577,1.0,0.9230769230769231,0.16666666666666666,0.2727272727272727,0.4166666666666667,0.875,0.75,0.95,0.625,1.0,0.8571428571428571,0.9565217391304348,1.0,0.875,0.2,0.125,1.0,0.75,0.1111111111111111,0.8181818181818182,0.75,0.875,0.9444444444444444,0.14285714285714285,0.4,0.5,0.6,0.75,1.0,0.9444444444444444,0.5,0.3,0.5714285714285714,0.5,0.3333333333333333,0.6923076923076923,0.875,0.75,0.0,0.9333333333333333,0.5588235294117647,1.0,0.0,0.8571428571428571,0.0,0.9615384615384616,1.0,0.9375,0.8333333333333334,0.96,0.8961038961038961,0.8888888888888888,0.9545454545454546,0.8823529411764706,0.8,1.0,0.9230769230769231,0.967741935483871,1.0,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9166666666666666,0.8928571428571429,1.0,0.5714285714285714,0.9090909090909091,0.8,0.8333333333333334,1.0,0.8076923076923077,0.8545454545454545,0.5263157894736842,0.9655172413793104,0.6538461538461539,0.9054054054054054,0.84375,0.4,0.6785714285714286,0.9230769230769231,0.8387096774193549,0.7272727272727273,0.7777777777777778,0.9090909090909091,0.8888888888888888,0.8571428571428571,0.6170212765957447,0.8723404255319149,0.6875,0.6428571428571429,0.8333333333333334,0.5714285714285714,0.9574468085106383,0.5588235294117647,0.55,0.5882352941176471,0.3888888888888889,0.5714285714285714,0.9,0.125,1.0
8,JoCoR,0.05408328826392644,0.9459167117360736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.17391304347826086,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.20588235294117646,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.16,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.12903225806451613,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.03636363636363636,0.15789473684210525,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.2978723404255319,0.0,0.0,0.0,0.0,0.46808510638297873,0.029411764705882353,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111
9,NegativeLearning,0.3304488912925906,0.6695511087074094,0.5,0.07692307692307693,0.16666666666666666,0.2727272727272727,0.5,0.0,0.0,0.4,0.125,0.16666666666666666,0.19047619047619047,0.782608695652174,0.4444444444444444,0.25,0.0,0.0,0.17391304347826086,0.25,0.2222222222222222,0.18181818181818182,0.25,0.0,0.3333333333333333,0.0,0.4,0.3333333333333333,0.2,0.08333333333333333,0.1875,0.4444444444444444,0.0,0.0,0.42857142857142855,0.0,0.4444444444444444,0.0,0.25,0.0,0.0,0.6,0.35294117647058826,0.18181818181818182,0.09090909090909091,0.42857142857142855,0.0,0.4807692307692308,0.35714285714285715,0.4375,0.0,0.64,0.35064935064935066,0.6111111111111112,0.22727272727272727,0.8235294117647058,0.4666666666666667,0.4230769230769231,0.07692307692307693,0.8064516129032258,0.07142857142857142,0.22727272727272727,0.14285714285714285,0.09090909090909091,1.0,0.08333333333333333,0.6785714285714286,0.4166666666666667,0.14285714285714285,0.09090909090909091,0.4666666666666667,0.0,0.8125,0.2692307692307692,0.2909090909090909,0.39473684210526316,0.1724137931034483,0.3076923076923077,0.3918918918918919,0.5,0.0,0.2857142857142857,0.40384615384615385,0.1935483870967742,0.15151515151515152,0.1111111111111111,0.18181818181818182,0.5555555555555556,0.5,0.2978723404255319,0.48936170212765956,0.3125,0.5,0.16666666666666666,0.14285714285714285,0.46808510638297873,0.23529411764705882,0.2,0.35294117647058826,0.16666666666666666,0.21428571428571427,0.2,0.25,0.7777777777777778
