,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36
0,pretrain,0.9204134366925064,0.07958656330749359,0.7708333333333334,0.9074074074074074,0.7192982456140351,0.9811320754716981,0.9433962264150944,1.0,0.9433962264150944,1.0,0.9433962264150944,0.9166666666666666,0.94,0.6862745098039216,0.9387755102040817,0.9298245614035088,0.9298245614035088,0.9464285714285714,0.8679245283018868,1.0,0.9661016949152542,0.9038461538461539,0.9074074074074074,0.9074074074074074,1.0,1.0,0.96,1.0,0.6666666666666666,0.8571428571428571,0.9090909090909091,0.98,0.8947368421052632,0.94,0.9615384615384616,0.9821428571428571,0.9090909090909091,1.0,0.9230769230769231
1,inctrain,0.0005167958656330749,0.999483204134367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.47751937984496123,0.5224806201550387,0.2708333333333333,0.6111111111111112,0.5964912280701754,0.8867924528301887,0.8490566037735849,0.0,0.0,0.9019607843137255,0.660377358490566,0.7916666666666666,0.4,0.0,0.5510204081632653,0.0,0.5614035087719298,0.0,0.9245283018867925,0.9464285714285714,0.0,0.2692307692307692,0.0,0.5925925925925926,0.8181818181818182,0.16981132075471697,0.74,1.0,0.8222222222222222,0.061224489795918366,0.0,1.0,0.7368421052631579,0.78,0.5961538461538461,0.2857142857142857,0.0,0.9347826086956522,0.21153846153846154
3,Coteachingplus,0.4558139534883721,0.5441860465116279,0.6875,0.8888888888888888,0.3684210526315789,0.37735849056603776,0.7358490566037735,0.0392156862745098,0.2641509433962264,0.09803921568627451,0.16981132075471697,0.6666666666666666,0.56,0.0392156862745098,0.8979591836734694,0.017543859649122806,0.3508771929824561,0.6071428571428571,0.6981132075471698,0.0,0.9322033898305084,0.5384615384615384,0.0,0.6666666666666666,0.4090909090909091,0.1509433962264151,0.98,0.9807692307692307,0.06666666666666667,0.12244897959183673,0.8,1.0,0.43859649122807015,0.02,0.40384615384615385,0.23214285714285715,0.509090909090909,0.9347826086956522,0.2692307692307692
4,Decoupling,0.7400516795865633,0.25994832041343674,0.5625,0.9629629629629629,0.8596491228070176,0.8867924528301887,0.8679245283018868,0.5490196078431373,0.8679245283018868,0.9019607843137255,0.5283018867924528,0.6666666666666666,0.96,0.35294117647058826,0.8163265306122449,0.7543859649122807,0.8947368421052632,0.23214285714285715,0.22641509433962265,0.9107142857142857,0.847457627118644,0.40384615384615385,0.3888888888888889,0.7777777777777778,0.5227272727272727,0.9811320754716981,0.94,1.0,0.7555555555555555,0.9591836734693877,0.5454545454545454,1.0,0.7894736842105263,0.2,0.8653846153846154,0.8928571428571429,0.7636363636363637,0.9782608695652174,0.9423076923076923
5,DISC,0.6232558139534884,0.3767441860465116,0.7291666666666666,0.7407407407407407,0.2631578947368421,0.37735849056603776,0.5660377358490566,0.7450980392156863,0.2830188679245283,0.7058823529411765,0.6415094339622641,0.7708333333333334,0.64,0.5882352941176471,0.3877551020408163,0.2982456140350877,0.543859649122807,0.5357142857142857,0.37735849056603776,0.6785714285714286,0.423728813559322,0.7307692307692307,0.2962962962962963,0.8703703703703703,0.8409090909090909,0.8301886792452831,0.7,0.9423076923076923,0.7111111111111111,0.9795918367346939,0.8727272727272727,0.7,0.6491228070175439,0.62,0.6153846153846154,0.8035714285714286,0.45454545454545453,0.6086956521739131,0.7115384615384616
6,ELR,0.6640826873385013,0.3359173126614987,0.7083333333333334,0.7222222222222222,0.2982456140350877,0.1320754716981132,0.5660377358490566,0.8235294117647058,0.7924528301886793,0.9019607843137255,0.7358490566037735,0.8958333333333334,0.76,0.5882352941176471,0.3877551020408163,0.7543859649122807,0.47368421052631576,0.6785714285714286,0.7169811320754716,0.6964285714285714,0.6271186440677966,0.7884615384615384,0.7592592592592593,0.7037037037037037,0.75,0.7735849056603774,0.88,0.8269230769230769,0.7111111111111111,0.6122448979591837,0.6909090909090909,0.96,0.7719298245614035,0.16,0.6538461538461539,0.6428571428571429,0.18181818181818182,0.8043478260869565,0.75
7,GJS,0.6051679586563308,0.3948320413436692,0.7083333333333334,0.5185185185185185,0.5087719298245614,0.5094339622641509,0.1320754716981132,0.47058823529411764,0.7358490566037735,0.9607843137254902,0.5283018867924528,0.7916666666666666,0.3,0.5294117647058824,0.16326530612244897,0.45614035087719296,0.6842105263157895,0.6071428571428571,0.09433962264150944,0.625,0.6440677966101694,0.8269230769230769,0.5,0.8148148148148148,0.7045454545454546,0.7169811320754716,0.62,0.7884615384615384,0.6222222222222222,0.7142857142857143,0.8909090909090909,0.26,0.7368421052631579,0.74,0.5192307692307693,0.6785714285714286,0.5454545454545454,0.8478260869565217,0.9230769230769231
8,JoCoR,0.30077519379844964,0.6992248062015504,0.16666666666666666,0.0,0.0,0.0,0.7924528301886793,0.803921568627451,0.9622641509433962,0.5294117647058824,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.01694915254237288,0.9230769230769231,0.8888888888888888,0.018518518518518517,0.9318181818181818,0.0,0.84,0.0,0.9333333333333333,0.32653061224489793,0.0,0.86,0.0,0.0,0.7115384615384616,0.0,0.01818181818181818,0.0,0.0
9,NegativeLearning,0.841343669250646,0.15865633074935404,0.6875,0.8888888888888888,0.9824561403508771,0.9433962264150944,0.9433962264150944,0.7058823529411765,0.9056603773584906,1.0,0.7547169811320755,1.0,0.9,0.5098039215686274,0.7755102040816326,0.8421052631578947,0.8596491228070176,0.10714285714285714,0.9056603773584906,1.0,1.0,0.7115384615384616,0.7407407407407407,0.9629629629629629,0.9545454545454546,0.9811320754716981,0.96,1.0,0.7333333333333333,0.46938775510204084,0.8909090909090909,0.98,0.8421052631578947,0.62,0.9423076923076923,0.9107142857142857,0.8181818181818182,0.9782608695652174,0.9038461538461539
