,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99,label_100,label_101
0,pretrain,0.9468149038461539,0.053185096153846145,1.0,0.9473684210526315,0.6666666666666666,0.42105263157894735,0.96,1.0,0.6666666666666666,1.0,0.75,1.0,0.918918918918919,0.9714285714285714,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.8125,0.8888888888888888,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,0.9411764705882353,0.9375,0.7368421052631579,0.9285714285714286,1.0,0.9,1.0,0.9642857142857143,1.0,0.9090909090909091,0.8,0.8846153846153846,0.9649122807017544,1.0,0.7142857142857143,0.925,0.7,0.9896907216494846,1.0,0.8888888888888888,1.0,0.9473684210526315,0.9765625,1.0,1.0,0.9545454545454546,0.9230769230769231,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9777777777777777,1.0,0.8888888888888888,0.6842105263157895,0.8235294117647058,1.0,1.0,0.9736842105263158,1.0,0.9879518072289156,0.9814814814814815,0.9607843137254902,0.976,1.0,1.0,0.8863636363636364,1.0,0.92,0.9032258064516129,0.8918918918918919,0.9583333333333334,1.0,0.8260869565217391,0.9864864864864865,0.9885057471264368,1.0,0.967741935483871,1.0,0.6923076923076923,0.9629629629629629,0.8392857142857143,0.725,0.7857142857142857,0.9714285714285714,1.0,1.0,0.95,1.0
1,inctrain,0.01171875,0.98828125,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01818181818181818,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.010526315789473684,0.024096385542168676,0.0,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.013221153846153846,0.9867788461538461,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01818181818181818,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.031578947368421054,0.024096385542168676,0.037037037037037035,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.0,0.0,0.0,0.0,0.0
3,Coteachingplus,0.01201923076923077,0.9879807692307693,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.021739130434782608,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.010526315789473684,0.012048192771084338,0.0,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.02857142857142857,0.045454545454545456,0.0,0.0,0.0
4,Decoupling,0.012620192307692308,0.9873798076923077,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.021052631578947368,0.024096385542168676,0.0,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.02857142857142857,0.045454545454545456,0.0,0.0,0.0
5,DISC,0.2503004807692308,0.7496995192307692,0.125,0.5263157894736842,0.0,0.0,0.16,0.0,0.0,0.05263157894736842,0.0,0.07692307692307693,0.02702702702702703,0.5142857142857142,0.21428571428571427,0.0,0.0,0.0,0.05405405405405406,0.02857142857142857,0.0,0.0,0.0,0.5789473684210527,0.125,0.0,0.0,0.2222222222222222,0.0,0.391304347826087,0.0,0.5625,0.0,0.0,0.4166666666666667,0.0,0.0,0.6428571428571429,0.1,0.0,0.0,0.0,0.3508771929824561,0.1,0.07936507936507936,0.1,0.0,0.5979381443298969,0.5555555555555556,0.037037037037037035,0.3125,0.39473684210526316,0.390625,0.17647058823529413,0.024390243902439025,0.18181818181818182,0.23076923076923078,0.7,0.5,0.43636363636363634,0.16,0.6086956521739131,0.1875,0.15,0.1,0.47058823529411764,0.5555555555555556,0.6363636363636364,0.2222222222222222,0.15789473684210525,0.058823529411764705,0.13636363636363635,0.4666666666666667,0.2894736842105263,0.5578947368421052,0.1927710843373494,0.5370370370370371,0.058823529411764705,0.408,0.265625,0.0,0.09090909090909091,0.08333333333333333,0.06,0.06451612903225806,0.0,0.0,0.0,0.17391304347826086,0.12162162162162163,0.4482758620689655,0.06060606060606061,0.3225806451612903,0.2857142857142857,0.46153846153846156,0.5061728395061729,0.375,0.025,0.0,0.02857142857142857,0.09090909090909091,0.2,0.0,0.0
6,ELR,0.20582932692307693,0.7941706730769231,0.0,0.5789473684210527,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.15384615384615385,0.05405405405405406,0.2857142857142857,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.1111111111111111,0.0,0.42105263157894735,0.45,0.0,0.0,0.0,0.0,0.43478260869565216,0.0,0.25,0.0,0.0,0.4166666666666667,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.038461538461538464,0.19298245614035087,0.1,0.031746031746031744,0.125,0.0,0.4845360824742268,0.07407407407407407,0.2222222222222222,0.375,0.631578947368421,0.4140625,0.08823529411764706,0.04878048780487805,0.22727272727272727,0.3076923076923077,0.6,0.11538461538461539,0.2,0.32,0.5434782608695652,0.4375,0.05,0.05,0.058823529411764705,0.4444444444444444,0.36363636363636365,0.0,0.10526315789473684,0.058823529411764705,0.045454545454545456,0.5,0.15789473684210525,0.4105263157894737,0.21686746987951808,0.5555555555555556,0.0392156862745098,0.232,0.34375,0.0,0.06818181818181818,0.047619047619047616,0.12,0.08064516129032258,0.02702702702702703,0.0,0.0,0.21739130434782608,0.05405405405405406,0.3793103448275862,0.15151515151515152,0.2903225806451613,0.47619047619047616,0.15384615384615385,0.3333333333333333,0.19642857142857142,0.1,0.0,0.14285714285714285,0.09090909090909091,0.13333333333333333,0.0,0.0
7,GJS,0.3019831730769231,0.6980168269230769,0.0,0.5263157894736842,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.07692307692307693,0.10810810810810811,0.6857142857142857,0.21428571428571427,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.2222222222222222,0.0,0.8947368421052632,0.325,0.0,0.0,0.4444444444444444,0.2222222222222222,0.9130434782608695,0.0,0.4375,0.0,0.0,0.75,0.0,0.0,0.5,0.12,0.0,0.0,0.07692307692307693,0.2807017543859649,0.15,0.015873015873015872,0.1,0.0,0.7319587628865979,0.5185185185185185,0.18518518518518517,0.5,0.5789473684210527,0.4765625,0.08823529411764706,0.04878048780487805,0.45454545454545453,0.5,0.72,0.07692307692307693,0.2545454545454545,0.68,0.4782608695652174,0.6875,0.15,0.0,0.29411764705882354,0.5333333333333333,0.13636363636363635,0.2222222222222222,0.10526315789473684,0.11764705882352941,0.36363636363636365,0.5333333333333333,0.39473684210526316,0.49473684210526314,0.1927710843373494,0.4444444444444444,0.0,0.576,0.5,0.0,0.13636363636363635,0.20238095238095238,0.2,0.08064516129032258,0.0,0.08333333333333333,0.047619047619047616,0.13043478260869565,0.1891891891891892,0.2988505747126437,0.3333333333333333,0.41935483870967744,0.3333333333333333,0.23076923076923078,0.8765432098765432,0.39285714285714285,0.0,0.0,0.02857142857142857,0.5909090909090909,0.6,0.05,0.0
8,JoCoR,0.01201923076923077,0.9879807692307693,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01818181818181818,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.010526315789473684,0.024096385542168676,0.0,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
9,NegativeLearning,0.012319711538461538,0.9876802884615384,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.1,0.0,0.0,0.05,0.031746031746031744,0.05,0.0,0.010309278350515464,0.0,0.0,0.0,0.02631578947368421,0.03125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01818181818181818,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.010526315789473684,0.024096385542168676,0.0,0.0196078431372549,0.016,0.046875,0.1,0.0,0.011904761904761904,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.07692307692307693,0.012345679012345678,0.017857142857142856,0.025,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
