,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
0,pretrain,0.8463111111111111,0.15368888888888887,0.8502862175253192,0.9165927240461402,0.7688219663418955,0.7450110864745011,0.8403880070546738,0.7323436797121008,0.8929527207850134,0.8739306618640252,0.9327433628318584,0.9092526690391459
1,inctrain,0.1935111111111111,0.8064888888888889,0.2562747688243065,0.18899733806566105,0.15589016829052257,0.1073170731707317,0.1763668430335097,0.17183985605038238,0.2952720785013381,0.22017109410175598,0.17743362831858406,0.18594306049822065
2,Coteaching,0.42573333333333335,0.5742666666666667,0.0,0.9077196095829636,0.001771479185119575,0.0,0.0,0.8659469185784975,0.8648528099910794,0.7217469608284557,0.9123893805309734,0.0
3,Coteachingplus,0.7648888888888888,0.23511111111111116,0.6226332012329371,0.9072759538598048,0.6727192205491586,0.6186252771618626,0.8289241622574955,0.5686009896536213,0.863514719000892,0.7964880684376408,0.929646017699115,0.8394128113879004
4,Decoupling,0.7971111111111111,0.2028888888888889,0.8595332452664025,0.9094942324755989,0.7564216120460585,0.6886917960088692,0.7526455026455027,0.6698155645524067,0.8010704727921498,0.8108959927960379,0.8982300884955752,0.822508896797153
5,DISC,0.8176,0.1824,0.8617349185380889,0.9130434782608695,0.7962798937112489,0.5534368070953437,0.8615520282186949,0.6923076923076923,0.9027653880463872,0.8090950022512382,0.9353982300884955,0.8483096085409253
6,ELR,0.8067555555555556,0.19324444444444444,0.8313518273888155,0.8979591836734694,0.7475642161204605,0.6926829268292682,0.7535273368606702,0.741340530814215,0.7930419268510259,0.8041422782530392,0.9482300884955752,0.8567615658362989
7,GJS,0.8203555555555555,0.1796444444444445,0.8828709819462792,0.9157054125998225,0.7573073516386183,0.6572062084257206,0.7808641975308642,0.6639676113360324,0.8831400535236396,0.8815848716794237,0.9216814159292035,0.8580960854092526
8,JoCoR,0.10093333333333333,0.8990666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NegativeLearning,0.7911111111111111,0.2088888888888889,0.8388375165125496,0.9063886424134872,0.6430469441984057,0.6838137472283814,0.6917989417989417,0.7058029689608637,0.8737734165923283,0.8311571364250337,0.9017699115044248,0.8349644128113879
10,PENCIL,0.564,0.43600000000000005,0.6014971378247468,0.6592724046140195,0.4765279007971656,0.2798226164079823,0.48544973544973546,0.47818263607737294,0.6993755575379126,0.6307969383160739,0.6632743362831859,0.666814946619217
11,FT,0.5338222222222222,0.4661777777777778,0.5689123734037869,0.6184560780834073,0.45969884853852966,0.247450110864745,0.4417989417989418,0.44129554655870445,0.6668153434433541,0.6078343088698784,0.65,0.6370106761565836
12,GA,0.21853333333333333,0.7814666666666666,0.2760898282694848,0.20496894409937888,0.17094774136403898,0.11352549889135255,0.18738977072310406,0.19208277103013946,0.3220338983050847,0.3084196307969383,0.20486725663716815,0.20640569395017794
13,GA_l1,0.09964444444444444,0.9003555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,wfisher,0.20657777777777778,0.7934222222222223,0.2518714222809335,0.21339840283939662,0.1682905225863596,0.10909090909090909,0.1865079365079365,0.18533513270355376,0.32694023193577165,0.2260243133723548,0.19911504424778761,0.19973309608540926
15,CRUL,0.8225777777777777,0.17742222222222226,0.8643769264641127,0.9414374445430346,0.7382639503985828,0.6470066518847006,0.7883597883597884,0.692757534862798,0.9000892060660125,0.8707789284106259,0.8964601769911504,0.8856761565836299
