,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36
0,pretrain,0.9263565891472868,0.0736434108527132,0.75,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8571428571428571,1.0,0.6666666666666666,1.0,1.0,0.8,0.7777777777777778,1.0,1.0,0.8888888888888888,0.75,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.8
1,inctrain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.47674418604651164,0.5232558139534884,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,0.0,1.0,0.0,0.9,0.875,0.4,0.0,0.75,1.0,0.0,0.5833333333333334,0.8,0.0,0.8888888888888888,0.25,0.0,0.625,1.0,0.875,1.0,0.1111111111111111,0.0,0.0,0.8571428571428571,0.6666666666666666,0.0,0.8,0.3333333333333333,0.0,1.0,0.0
3,Coteachingplus,0.7674418604651163,0.2325581395348837,0.25,1.0,0.5,0.8181818181818182,0.5,1.0,0.7142857142857143,0.6666666666666666,0.3333333333333333,1.0,0.75,0.8,0.4444444444444444,1.0,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8,0.6666666666666666,0.8888888888888888,0.5,0.7777777777777778,0.75,1.0,0.875,1.0,0.5555555555555556,0.8,0.7777777777777778,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.8,0.6666666666666666,0.7272727272727273,1.0,0.4
4,Decoupling,0.7674418604651163,0.2325581395348837,0.5,0.8,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.7272727272727273,0.42857142857142855,0.3333333333333333,0.6666666666666666,1.0,0.75,0.8,0.6666666666666666,0.75,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.7,1.0,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,0.75,1.0,0.8888888888888888,0.7,0.8888888888888888,0.8571428571428571,0.6666666666666666,0.3333333333333333,1.0,1.0,0.7272727272727273,1.0,0.6
5,DISC,0.813953488372093,0.18604651162790697,0.75,1.0,0.6666666666666666,0.6363636363636364,0.16666666666666666,1.0,0.8571428571428571,1.0,0.6666666666666666,1.0,0.875,0.8,0.6666666666666666,0.75,0.8333333333333334,1.0,1.0,0.9,1.0,0.7777777777777778,1.0,0.8888888888888888,0.875,0.7777777777777778,0.75,0.75,0.4444444444444444,0.8,0.8888888888888888,0.8571428571428571,1.0,0.3333333333333333,0.8,1.0,0.7272727272727273,1.0,0.8
6,ELR,0.7054263565891473,0.2945736434108527,0.5,0.4,0.6666666666666666,0.45454545454545453,0.6666666666666666,0.9090909090909091,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,0.8,0.7777777777777778,0.5,0.8333333333333334,0.5555555555555556,0.3333333333333333,0.9,0.6666666666666666,0.3333333333333333,1.0,0.8888888888888888,0.75,0.7777777777777778,0.625,0.875,0.4444444444444444,0.9,0.4444444444444444,0.8571428571428571,1.0,0.0,0.6,1.0,0.9090909090909091,0.8333333333333334,0.8
7,GJS,0.751937984496124,0.24806201550387597,0.5,0.6,0.8333333333333334,0.6363636363636364,0.3333333333333333,0.9090909090909091,0.8571428571428571,0.3333333333333333,0.6666666666666666,1.0,0.75,0.8,0.7777777777777778,0.75,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.9,1.0,0.8888888888888888,1.0,1.0,0.875,0.8888888888888888,0.625,1.0,0.4444444444444444,0.9,0.6666666666666666,1.0,1.0,0.3333333333333333,0.8,1.0,0.45454545454545453,0.6666666666666666,0.6
8,JoCoR,0.36046511627906974,0.6395348837209303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.375,1.0,0.4444444444444444,0.0,1.0,0.2222222222222222,0.0,0.8,1.0,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7,0.0,0.5714285714285714,1.0,0.6666666666666666,0.8,0.6666666666666666,0.8181818181818182,0.16666666666666666,0.0
9,NegativeLearning,0.8023255813953488,0.19767441860465118,0.25,1.0,0.8333333333333334,0.6363636363636364,0.6666666666666666,0.6363636363636364,1.0,1.0,0.3333333333333333,1.0,0.75,1.0,0.6666666666666666,0.75,1.0,0.7777777777777778,0.9166666666666666,0.9,0.6666666666666666,0.7777777777777778,0.5,0.8888888888888888,0.75,1.0,0.875,1.0,0.5555555555555556,0.8,0.7777777777777778,1.0,0.6666666666666666,0.0,0.8,1.0,0.9090909090909091,1.0,0.6
10,PENCIL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
