,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
0,pretrain,0.8463111111111111,0.15368888888888887,0.8502862175253192,0.9165927240461402,0.7688219663418955,0.7450110864745011,0.8403880070546738,0.7323436797121008,0.8929527207850134,0.8739306618640252,0.9327433628318584,0.9092526690391459
1,inctrain,0.1935111111111111,0.8064888888888889,0.2562747688243065,0.18899733806566105,0.15589016829052257,0.1073170731707317,0.1763668430335097,0.17183985605038238,0.2952720785013381,0.22017109410175598,0.17743362831858406,0.18594306049822065
2,Coteaching,0.4594666666666667,0.5405333333333333,0.2813738441215324,0.9387755102040817,0.0022143489813994687,0.0,0.0,0.8241115609536662,0.8907225691347012,0.8036920306168392,0.8690265486725663,0.0
3,Coteachingplus,0.7727555555555555,0.22724444444444447,0.7965653896961691,0.9281277728482697,0.7108060230292295,0.5201773835920177,0.7204585537918872,0.650472334682861,0.8621766280107047,0.8356596127870328,0.8393805309734513,0.8638790035587188
4,Decoupling,0.7771555555555556,0.2228444444444444,0.7300748568912373,0.8713398402839396,0.6612046058458814,0.5445676274944568,0.7292768959435626,0.7260458839406208,0.8715432649420161,0.8919405673120216,0.8769911504424779,0.8709964412811388
5,DISC,0.7984888888888889,0.20151111111111109,0.7802730074856892,0.9112688553682342,0.6496899911426041,0.6753880266075388,0.7535273368606702,0.7795771479982007,0.8073148974130241,0.8626744709590275,0.8853982300884956,0.8812277580071174
6,ELR,0.78,0.21999999999999997,0.8339938353148393,0.8438331854480923,0.7267493356953055,0.5662971175166297,0.8077601410934744,0.6522717049032839,0.8470115967885816,0.7609185051778479,0.8486725663716814,0.9105871886120996
7,GJS,0.7929333333333334,0.20706666666666662,0.8630559225011009,0.8921916592724046,0.7077059344552702,0.5973392461197339,0.7530864197530864,0.699055330634278,0.8064228367528992,0.879783881134624,0.8654867256637168,0.8652135231316725
8,JoCoR,0.4228,0.5771999999999999,0.5173932188463232,0.4733806566104703,0.4366696191319752,0.2048780487804878,0.3959435626102293,0.2703553756185335,0.4326494201605709,0.34398919405673123,0.5641592920353983,0.5849644128113879
9,NegativeLearning,0.7903555555555556,0.2096444444444444,0.7771906649053281,0.9263531499556344,0.7621789193976971,0.6492239467849223,0.8364197530864198,0.6185335132703553,0.8412132024977699,0.7564160288158487,0.9026548672566371,0.8305160142348754
10,PENCIL,0.5599555555555555,0.44004444444444446,0.5856450902686041,0.6792369121561668,0.4818423383525244,0.2731707317073171,0.4858906525573192,0.46288798920377866,0.7069580731489741,0.6267447095902746,0.6623893805309734,0.6356761565836299
11,FT,0.5333777777777777,0.46662222222222227,0.5821224130339058,0.6455190771960958,0.4512843224092117,0.2749445676274945,0.43430335097001765,0.4318488529014845,0.6703835860838537,0.6172895092300765,0.6110619469026549,0.6161032028469751
12,GA,0.22306666666666666,0.7769333333333334,0.27829150154117127,0.21029281277728482,0.17183348095659876,0.11175166297117517,0.19268077601410935,0.20287899235267656,0.328278322925959,0.31517334533993696,0.21327433628318584,0.20774021352313168
13,GA_l1,0.6918666666666666,0.30813333333333337,0.46323205636283576,0.8793256433007985,0.6731620903454384,0.4580931263858093,0.42239858906525574,0.7827260458839406,0.7734165923282783,0.7393066186402522,0.8097345132743363,0.9234875444839857
14,wfisher,0.20657777777777778,0.7934222222222223,0.2518714222809335,0.21339840283939662,0.1682905225863596,0.10909090909090909,0.1865079365079365,0.18533513270355376,0.32694023193577165,0.2260243133723548,0.19911504424778761,0.19973309608540926
15,CRUL,0.8229777777777778,0.1770222222222222,0.8683399383531484,0.9050576752440106,0.7254207263064659,0.7068736141906874,0.7817460317460317,0.6941070625281152,0.8818019625334522,0.8541197658712292,0.9128318584070797,0.8985765124555161
