,restore
CRUL_wo_ls_mixup,77.25490196078431
CRUL_wo_ul_mixup,83.33333333333333
CRUL_wo_ulls,84.01960784313725
CRUL_wo_ls,84.31372549019608
CRUL_wo_ul,87.54901960784314
CRUL_wo_mixup,85.0
CRUL_full,88.43137254901961
