,restore
CRUL_wo_ls_mixup,89.15235759062415
CRUL_wo_ul_mixup,90.16080675933497
CRUL_wo_ulls,89.39765603706732
CRUL_wo_ls,89.67020986644863
CRUL_wo_ul,90.13355137639684
CRUL_wo_mixup,89.75197601526301
CRUL_full,90.89670209866449
