,accuracy
pretrain,91.07843137254902
inc_train,66.47058823529412
Coteaching,64.2156862745098
Coteachingplus,63.13725490196079
Decoupling,67.74509803921569
DISC,88.52941176470588
ELR,75.98039215686275
GJS,73.72549019607843
JoCoR,63.431372549019606
NegativeLearning,74.70588235294117
PENCIL,66.66666666666667
FT,65.88235294117646
GA,66.96078431372548
GA_l1,67.25490196078431
wfisher,66.76470588235294
CRUL,90.49019607843137
