,accuracy
pretrain,91.07843137254902
inc_train,93.62745098039215
Coteaching,90.88235294117646
Coteachingplus,89.31372549019608
Decoupling,92.54901960784314
DISC,91.27450980392157
ELR,90.3921568627451
GJS,90.09803921568627
JoCoR,92.05882352941177
NegativeLearning,93.62745098039215
PENCIL,93.82352941176471
FT,93.72549019607843
GA,93.62745098039215
GA_l1,93.62745098039215
wfisher,93.52941176470588
CRUL,94.6078431372549
