,accuracy
pretrain,91.07843137254902
inc_train,87.3529411764706
Coteaching,64.41176470588235
Coteachingplus,85.29411764705883
Decoupling,86.27450980392157
DISC,87.3529411764706
ELR,87.74509803921569
GJS,89.90196078431373
JoCoR,85.19607843137256
NegativeLearning,90.68627450980392
PENCIL,87.45098039215686
FT,87.05882352941177
GA,87.15686274509804
GA_l1,87.15686274509804
wfisher,87.45098039215686
CRUL,90.3921568627451
