,0.25,0.5,0.75
pretrain,91.60534205505587,91.60534205505587,91.60534205505587
inc_train,85.63641319160534,60.53420550558735,20.44153720359771
finetune,90.24257290814936,86.15426546742982,71.27282638321068
Coteaching,88.68901608067593,80.9212319433088,47.77868629054238
Coteachingplus,85.71817934041974,65.84900517852276,29.10874897792314
FT,85.17307168165712,53.69310438811665,13.682202234941402
GA,89.58844371763423,66.85745434723358,23.33060779503952
CRUL,90.43336058871627,89.67020986644863,62.44208231125647
