,0.25,0.5,0.75
pretrain,92.05882352941177,92.05882352941177,92.05882352941177
inc_train,87.94117647058823,67.05882352941177,14.019607843137255
finetune,92.3529411764706,86.86274509803921,42.450980392156865
Coteaching,85.58823529411765,70.58823529411765,25.784313725490197
Coteachingplus,88.13725490196079,66.56862745098039,18.823529411764707
FT,88.43137254901961,67.94117647058823,16.862745098039216
GA,85.7843137254902,66.47058823529412,0.9803921568627451
CRUL,90.49019607843137,74.2156862745098,26.568627450980394
