,accuracy
pretrain,84.85
inc_train,79.3
Coteaching,44.7
Coteachingplus,73.39
Decoupling,82.44
DISC,85.15
ELR,81.96
GJS,84.1
JoCoR,83.31
NegativeLearning,83.8
PENCIL,84.47
FT,83.71
GA,81.29
GA_l1,81.96
wfisher,79.31
CRUL,87.74
