,accuracy
pretrain,84.85
inc_train,65.06
Coteaching,45.44
Coteachingplus,59.37
Decoupling,80.35
DISC,82.1
ELR,80.91
GJS,81.65
JoCoR,76.32
NegativeLearning,82.0
PENCIL,80.44
FT,79.35
GA,69.75
GA_l1,76.05
wfisher,65.34
CRUL,87.3
